TIMESTAMP_START,tmax,tmin,tmean,wind,rh,rn,prec
2010-08-09,31.55,27.01,29.2675,2.6675,82.72916666666667,12.5410878,0.254
2010-08-10,30.01,27.27,28.255625,2.8990416666666667,80.74441176470589,4.090608,45.47
2010-08-11,34.77,28.33,31.626270833333333,2.1794791666666664,76.91564583333333,18.69507,0.0
2010-08-12,35.32,29.82,32.2723125,1.141875,75.28937499999999,15.859368,0.254
2010-08-13,36.13,31.43,33.1616875,1.5267708333333332,72.52187500000001,19.393434,0.0
2010-08-14,36.04,29.25,32.670541666666665,1.548125,75.19553191489362,14.975387999999999,1.27
2010-08-15,35.53,28.57,31.784791666666667,1.6431875,76.24583333333334,16.067232,1.778
2010-08-16,34.73,29.12,31.459604166666665,1.2421041666666668,76.48409090909091,11.770236,6.096
2010-08-17,34.77,28.7,31.8998125,1.6171666666666666,76.82044444444445,16.650810000000003,22.854
2010-08-18,35.49,30.93,33.138354166666666,2.2321874999999998,72.8525,19.6162272,0.0
2010-08-19,35.63,29.95,32.464666666666666,2.1439583333333334,75.02272916666666,15.750235799999999,1.27
2010-08-20,35.41,28.83,31.568145833333332,1.4697083333333334,75.34814583333333,13.515912,0.0
2010-08-21,35.91,27.62,31.058354166666664,1.6782916666666667,71.11708333333333,17.497133999999996,1.27
2010-08-22,33.27,29.35,30.775000000000002,1.3364166666666666,76.93375,12.903264,0.0
2010-08-23,33.43,29.42,31.688208333333332,2.3941875,76.6516875,12.831947999999999,0.0
2010-08-24,34.47,30.49,32.2773125,2.217020833333333,74.868125,12.278178,0.0
2010-08-25,34.93,27.02,30.430208333333336,1.6743750000000002,78.29377083333334,8.4038418,0.254
2010-08-26,34.75,26.84,30.317083333333333,2.8980625,77.76458333333333,14.799851999999998,0.254
2010-08-27,34.89,29.56,32.26583333333333,2.535604166666667,74.09147916666667,19.116486,0.0
2010-08-28,34.54,29.92,32.114604166666666,3.307770833333333,74.7360625,16.36983,0.0
2010-08-29,33.21,29.52,31.2985625,2.9603333333333333,80.515,8.23167,0.508
2010-08-30,32.78,28.1,29.862291666666664,2.7127708333333334,80.48024444444444,9.284256,2.032
2010-08-31,33.21,28.26,30.354812499999998,3.5935624999999995,73.14064583333334,18.705996,1.27
2010-09-01,33.55,28.77,30.750625,3.277875,72.615,13.4771256,0.0
2010-09-02,34.2,27.26,30.452916666666667,1.1731666666666667,76.55068181818181,14.884848,7.112
2010-09-03,34.84,30.14,31.96647916666667,1.5921458333333334,79.63553191489362,12.725657999999997,2.032
2010-09-04,33.92,30.47,31.961291666666668,1.3249166666666667,78.74460416666666,12.454632,0.0
2010-09-05,34.53,29.11,30.9110625,1.3017708333333333,79.02020833333333,10.3702176,0.0
2010-09-06,33.52,26.76,29.529187500000003,2.1014375,81.50869565217391,10.07145,17.268
2010-09-07,33.7,27.47,29.981291666666667,2.4642916666666665,78.18752083333334,17.074962,2.286
2010-09-08,34.3,27.72,30.97520833333333,2.9004166666666666,76.09234042553192,16.732584,0.762
2010-09-09,34.67,29.7,31.364583333333332,1.9226458333333334,79.25604166666666,16.763706,0.0
2010-09-10,33.72,30.64,31.764,1.345,79.00791666666667,13.081284,0.762
2010-09-11,34.1,30.43,31.626458333333332,1.5382708333333335,78.08522916666666,15.562314,0.0
2010-09-12,35.47,30.23,31.544395833333336,1.5644166666666666,78.075,16.3431918,1.524
2010-09-13,34.85,29.52,31.946270833333333,2.4831458333333334,73.171875,16.6385358,0.0
2010-09-14,31.85,28.33,30.019791666666666,3.248666666666667,79.18625,8.345035800000002,13.966
2010-09-15,32.51,28.69,30.385833333333334,3.7805416666666667,80.17708333333333,10.039356,0.254
2010-09-16,30.67,27.78,28.992500000000003,2.4678333333333335,82.92770833333334,6.0567858,23.622
2010-09-17,33.4,27.99,30.641499999999997,2.91325,75.89395833333333,17.690994,0.0
2010-09-18,33.16,27.8,30.359416666666664,3.4344583333333336,71.91208333333334,15.416136,0.0
2010-09-19,33.45,27.36,30.057958333333332,2.9664791666666663,70.48858333333334,15.348945600000004,0.0
2010-09-20,32.241,26.9,29.580229166666665,2.9016249999999997,69.44416666666667,15.719868,0.0
2010-09-21,32.44,27.21,29.8544375,3.5744166666666666,73.02374999999999,15.6569976,0.0
2010-09-22,33.41,27.57,30.522583333333333,3.396125,73.28750000000001,16.780283999999995,0.0
2010-09-23,32.32,27.67,29.323333333333334,2.823770833333333,81.206875,7.3622178,21.842
2010-09-24,32.8,28.97,30.51064583333333,3.2185625000000004,82.24916666666667,8.358696,2.032
2010-09-25,32.17,28.32,30.2248125,2.7518541666666665,82.59395833333333,8.587025999999998,0.254
2010-09-26,32.96,28.46,30.508145833333334,2.4950208333333332,78.99583333333334,15.506893800000002,0.0
2010-09-27,34.11,29.14,31.416458333333335,2.885354166666667,77.17689583333333,13.790826,0.762
2010-09-28,32.67,27.65,30.419854166666667,3.006895833333333,81.92348837209302,5.154948,17.022
2010-09-29,29.47,26.29,27.328125,3.84,75.48148936170213,1.327914,35.306
2010-09-30,33.0,25.73,29.172979166666664,2.534625,77.705,13.524390000000002,0.0
2010-10-01,31.14,24.68,27.837708333333335,1.8125,65.61520833333333,14.911812,0.0
2010-10-02,32.08,25.51,28.47875,1.2339791666666666,70.12041666666667,14.128435799999998,0.0
2010-10-03,32.701,26.23,28.701083333333333,1.928375,73.270625,15.32583,23.626
2010-10-04,30.94,24.86,27.668958333333332,3.797416666666667,64.29666666666667,15.315627600000001,0.0
2010-10-05,30.35,24.36,27.046666666666667,4.5115625,67.0810625,14.015268,0.0
2010-10-06,29.56,23.47,26.08520833333333,4.65025,66.95395833333333,14.498067599999999,0.0
2010-10-07,28.83,21.41,24.828333333333333,4.1187499999999995,64.468125,14.4060678,0.0
2010-10-08,29.63,22.74,25.64,2.622333333333333,70.15020833333334,11.280564,0.0
2010-10-09,30.08,22.99,26.38,1.4680208333333333,70.020625,13.905882,0.0
2010-10-10,30.08,23.96,26.824375,1.4628541666666666,71.74397916666668,11.319012,0.0
2010-10-11,30.69,23.98,27.286666666666665,1.9576666666666667,73.3425,14.2083396,0.0
2010-10-12,28.63,25.65,26.671041666666667,1.7934791666666667,83.92239130434783,1.8600300000000003,4.572
2010-10-13,30.7,25.88,27.97375,1.2899791666666667,88.1759574468085,8.209188,1.524
2010-10-14,28.8,26.79,27.598958333333332,0.8300625,90.34382978723404,2.615472,1.016
